LocalAuthority,WardName,ONSCode,TotalVotes,ANSTEE_COUNT,ASLAM_COUNT,BROPHY_COUNT,BURNHAM_COUNT,FARMER_COUNT,MORRIS_COUNT,ODZE_COUNT,PATTERSON_COUNT,WinCandVotes,WinningCandidate,SecondMostVotes,Difference,PercDifference,PERC_DIFFERENCE,PERC_DIFFERENCE_SQ,PERC_DIFFERENCE_ORDER_TEN,COLOUR,Want of Official Mark,More than 1 Vote 1st Pref,Identifying Mark,Unmarked or Void,TOTAL REJECTED,TOTAL VOTES EXC. REJ,ANSTEE_PERC,ASLAM_PERC,BROPHY_PERC,BURNHAM_PERC,FARMER_PERC,MORRIS_PERC,ODZE_PERC,PATTERSON_PERC
ROCHDALE,West Middleton,E05000758,1817,269,2,90,1218,23,59,80,50,1218,4,269,949,1.28,127.64,16291.85,1276.40,,0,17,0,9,26,1791,15.0,0.1,5.0,68.0,1.3,3.3,4.5,2.8
SALFORD,Barton,E05000759,2053,350,16,80,1409,15,49,53,61,1409,4,350,1059,1.20,120.41,14498.41,1204.09,,0,15,0,5,20,2033,17.2,0.8,3.9,69.3,0.7,2.4,2.6,3.0
SALFORD,Cadishead,E05000762,1915,454,0,88,1185,15,48,57,51,1185,4,454,731,0.89,89.20,7956.77,892.01,,0,15,0,2,17,1898,23.9,0.0,4.6,62.4,0.8,2.5,3.0,2.7
SALFORD,Eccles,E05000764,2839,589,18,109,1907,14,37,49,88,1907,4,589,1318,1.06,105.61,11153.26,1056.09,,0,19,1,8,28,2811,21.0,0.6,3.9,67.8,0.5,1.3,1.7,3.1
SALFORD,Irlam,E05000765,1703,388,1,62,1088,8,50,45,43,1088,4,388,700,0.95,94.85,8996.70,948.51,,0,17,0,1,18,1685,23.0,0.1,3.7,64.6,0.5,3.0,2.7,2.6
SALFORD,Pendlebury,E05000771,2241,493,8,101,1421,9,67,84,42,1421,4,493,928,0.97,96.97,9403.12,969.70,,0,12,0,4,16,2225,22.2,0.4,4.5,63.9,0.4,3.0,3.8,1.9
SALFORD,Swinton North,E05000772,2278,464,9,77,1524,11,63,60,52,1524,4,464,1060,1.07,106.64,11372.06,1066.40,,0,14,0,4,18,2260,20.5,0.4,3.4,67.4,0.5,2.8,2.7,2.3
SALFORD,Swinton South,E05000773,2195,494,11,86,1401,11,62,54,48,1401,4,494,907,0.96,95.73,9163.39,957.26,,0,18,2,8,28,2167,22.8,0.5,4.0,64.7,0.5,2.9,2.5,2.2
SALFORD,Walkden South,E05000775,2536,545,4,89,1714,21,39,52,50,1714,4,545,1169,1.03,103.50,10711.65,1034.97,,0,15,0,7,22,2514,21.7,0.2,3.5,68.2,0.8,1.6,2.1,2.0
SALFORD,Winton,E05000777,2018,369,7,87,1341,14,56,75,49,1341,4,369,972,1.14,113.68,12924.10,1136.84,,0,14,0,6,20,1998,18.5,0.4,4.4,67.1,0.7,2.8,3.8,2.5
SALFORD,Worsley,E05000778,2886,1132,2,121,1500,9,23,21,60,1500,4,1132,368,0.28,27.96,781.96,279.64,,0,15,0,3,18,2868,39.5,0.1,4.2,52.3,0.3,0.8,0.7,2.1
SALFORD,Boothstown and Ellenbrook,E05000760,2564,942,5,104,1388,2,35,38,31,1388,4,942,446,0.38,38.28,1465.61,382.83,,0,18,0,1,19,2545,37.0,0.2,4.1,54.5,0.1,1.4,1.5,1.2
SALFORD,Broughton,E05000761,2073,403,31,98,1231,15,41,158,74,1231,4,403,828,1.01,101.35,10271.09,1013.46,,0,18,1,3,22,2051,19.6,1.5,4.8,60.0,0.7,2.0,7.7,3.6
SALFORD,Claremont,E05000763,2345,401,11,104,1646,13,39,46,59,1646,4,401,1245,1.22,121.64,14796.64,1216.41,,0,23,0,3,26,2319,17.3,0.5,4.5,71.0,0.6,1.7,2.0,2.5
SALFORD,Irwell Riverside,E05000766,1609,202,18,111,1091,18,24,40,88,1091,4,202,889,1.38,137.51,18908.91,1375.10,,0,12,0,5,17,1592,12.7,1.1,7.0,68.5,1.1,1.5,2.5,5.5
SALFORD,Kersal,E05000767,2006,745,24,60,937,14,27,135,42,937,4,745,192,0.23,22.83,521.21,228.30,,0,17,0,5,22,1984,37.6,1.2,3.0,47.2,0.7,1.4,6.8,2.1
SALFORD,Langworthy,E05000768,1750,243,14,95,1176,17,39,75,67,1176,4,243,933,1.32,131.50,17292.53,1315.01,,0,22,0,2,24,1726,14.1,0.8,5.5,68.1,1.0,2.3,4.3,3.9
SALFORD,Little Hulton,E05000769,1678,286,5,75,1118,17,56,67,35,1118,4,286,832,1.19,118.52,14046.64,1185.19,,0,15,0,4,19,1659,17.2,0.3,4.5,67.4,1.0,3.4,4.0,2.1
SALFORD,Ordsall,E05000770,2633,429,19,217,1704,17,40,28,149,1704,4,429,1275,1.20,119.55,14292.19,1195.50,,0,21,3,6,30,2603,16.5,0.7,8.3,65.5,0.7,1.5,1.1,5.7
SALFORD,Walkden North,E05000774,1915,321,6,67,1312,8,47,65,66,1312,4,321,991,1.21,121.37,14731.09,1213.72,,0,16,0,7,23,1892,17.0,0.3,3.5,69.3,0.4,2.5,3.4,3.5
SALFORD,Weaste and Seedley,E05000776,2207,372,14,97,1502,13,42,69,77,1502,4,372,1130,1.21,120.60,14543.79,1205.98,,0,17,0,4,21,2186,17.0,0.6,4.4,68.7,0.6,1.9,3.2,3.5
STOCKPORT,Bramhall North,E05000779,3996,1786,8,399,1621,19,35,27,63,1786,1,1621,165,0.10,9.69,93.82,96.86,,0,22,0,16,38,3958,45.1,0.2,10.1,41.0,0.5,0.9,0.7,1.6
STOCKPORT,Bramhall South and Woodford,E05000780,3977,1786,2,479,1560,6,43,19,39,1786,1,1560,226,0.14,13.51,182.48,135.09,,0,19,2,22,43,3934,45.4,0.1,12.2,39.7,0.2,1.1,0.5,1.0
STOCKPORT,Bredbury Green and Romiley,E05000782,3414,1094,3,463,1637,16,51,39,60,1637,4,1094,543,0.40,39.77,1581.31,397.66,,0,33,1,17,51,3363,32.5,0.1,13.8,48.7,0.5,1.5,1.2,1.8
STOCKPORT,Cheadle and Gatley,E05000784,4362,1386,23,586,2170,20,42,27,69,2170,4,1386,784,0.44,44.09,1944.32,440.94,,0,24,1,14,39,4323,32.1,0.5,13.6,50.2,0.5,1.0,0.6,1.6
STOCKPORT,Cheadle Hulme South,E05000786,3760,1278,17,561,1685,13,60,39,67,1685,4,1278,407,0.27,27.47,754.72,274.72,,0,33,0,7,40,3720,34.4,0.5,15.1,45.3,0.3,1.6,1.0,1.8
STOCKPORT,Davenport and Cale Green,E05000787,2952,490,9,195,1978,18,75,52,103,1978,4,490,1488,1.21,120.58,14540.37,1205.83,,0,22,0,10,32,2920,16.8,0.3,6.7,67.7,0.6,2.6,1.8,3.5
STOCKPORT,Manor,E05000793,2433,468,6,209,1531,9,58,50,75,1531,4,468,1063,1.06,106.35,11311.00,1063.53,,0,14,0,13,27,2406,19.5,0.2,8.7,63.6,0.4,2.4,2.1,3.1
STOCKPORT,Marple North,E05000794,4191,1366,2,667,1944,20,50,20,76,1944,4,1366,578,0.35,34.92,1219.72,349.24,,0,37,0,9,46,4145,33.0,0.0,16.1,46.9,0.5,1.2,0.5,1.8
STOCKPORT,Marple South,E05000795,3710,1245,5,727,1499,10,58,40,83,1499,4,1245,254,0.19,18.51,342.74,185.13,,0,35,0,8,43,3667,34.0,0.1,19.8,40.9,0.3,1.6,1.1,2.3
STOCKPORT,Offerton,E05000796,2624,769,5,345,1293,23,72,51,42,1293,4,769,524,0.51,50.82,2583.12,508.24,,0,18,0,6,24,2600,29.6,0.2,13.3,49.7,0.9,2.8,2.0,1.6
STOCKPORT,Stepping Hill,E05000799,3418,1095,5,355,1782,13,46,27,55,1782,4,1095,687,0.48,47.76,2280.83,477.58,,0,34,1,5,40,3378,32.4,0.1,10.5,52.8,0.4,1.4,0.8,1.6
STOCKPORT,Bredbury and Woodley,E05000781,2958,807,5,451,1455,23,63,60,56,1455,4,807,648,0.57,57.29,3282.65,572.94,,0,17,0,21,38,2920,27.6,0.2,15.4,49.8,0.8,2.2,2.1,1.9
STOCKPORT,Brinnington and Central,E05000783,2107,273,20,103,1480,21,56,62,59,1480,4,273,1207,1.38,137.71,18963.16,1377.07,,0,24,0,9,33,2074,13.2,1.0,5.0,71.4,1.0,2.7,3.0,2.8
