,LocalAuthority,WardName,ONSCode,TotalVotes,ANSTEE_COUNT,ASLAM_COUNT,BROPHY_COUNT,BURNHAM_COUNT,FARMER_COUNT,MORRIS_COUNT,ODZE_COUNT,PATTERSON_COUNT,WinCandVotes,WinningCandidate,SecondMostVotes,Difference,PercDifference,PERC_DIFFERENCE,PERC_DIFFERENCE_SQ,PERC_DIFFERENCE_ORDER_TEN,PERC_DIFFERENCE_ORDER_100,COLOUR,Want of Official Mark,More than 1 Vote 1st Pref,Identifying Mark,Unmarked or Void,TOTAL REJECTED,TOTAL VOTES EXC. REJ,ANSTEE_PERC,ASLAM_PERC,BROPHY_PERC,BURNHAM_PERC,FARMER_PERC,MORRIS_PERC,ODZE_PERC,PATTERSON_PERC
189,TRAFFORD,Stretford,E05000836,2931,494,20,129,2048,14,52,34,107,2048,4,494,1554,1.22,122.27,14948.96,1222.66,12226.6,#E23030,0,20,2,11,33,2898,17,0.7,4.5,70.7,0.5,1.8,1.2,3.7
190,TRAFFORD,Urmston,E05000838,3275,779,6,185,2066,22,71,31,81,2066,4,779,1287,0.9,90.47,8185.64,904.75,9047.5,#E94B4B,0,25,1,8,34,3241,24,0.2,5.7,63.7,0.7,2.2,1,2.5
191,WIGAN,Astley Mosley Common,E05000843,2990,646,2,92,2029,14,77,57,44,2029,4,646,1383,1.03,103.4,10691.95,1034.02,10340.2,#E64141,1,28,0,0,29,2961,21.8,0.1,3.1,68.5,0.5,2.6,1.9,1.5
192,WIGAN,Atherleigh,E05000844,2287,373,2,64,1692,12,43,33,42,1692,4,373,1319,1.28,127.75,16319.6,1277.48,12774.8,#E02B2B,0,22,0,4,26,2261,16.5,0.1,2.8,74.8,0.5,1.9,1.5,1.9
193,WIGAN,Atherton,E05000845,2792,477,10,62,1974,36,69,67,49,1974,4,477,1497,1.22,122.15,14921.65,1221.54,12215.4,#E23030,0,43,0,5,48,2744,17.4,0.4,2.3,71.9,1.3,2.5,2.4,1.8
194,WIGAN,Golborne and Lowton West,E05000848,2483,252,2,72,2023,16,24,32,32,2023,4,252,1771,1.56,155.69,24240.09,1556.92,15569.2,#DA1313,0,28,0,2,30,2453,10.3,0.1,2.9,82.5,0.7,1,1.3,1.3
195,WIGAN,Leigh East,E05000852,2539,304,7,48,2036,7,27,36,46,2036,4,304,1732,1.48,148.03,21914.12,1480.34,14803.4,#DC1A1A,0,23,1,4,28,2511,12.1,0.3,1.9,81.1,0.3,1.1,1.4,1.8
196,WIGAN,Leigh South,E05000853,3269,536,3,84,2439,11,52,78,43,2439,4,536,1903,1.28,127.93,16366.79,1279.33,12793.3,#E02B2B,0,16,0,7,23,3246,16.5,0.1,2.6,75.1,0.3,1.6,2.4,1.3
197,WIGAN,Leigh West,E05000854,2524,242,7,66,1964,20,50,86,53,1964,4,242,1722,1.56,156.12,24373.35,1561.2,15612.0,#DA1313,0,30,0,6,36,2488,9.7,0.3,2.7,78.9,0.8,2,3.5,2.1
198,WIGAN,Lowton East,E05000855,3492,861,0,57,2450,7,21,29,43,2450,4,861,1589,0.96,95.98,9212.75,959.83,9598.3,#E84747,3,21,0,0,24,3468,24.8,0,1.6,70.6,0.2,0.6,0.8,1.2
199,WIGAN,Tyldesley,E05000860,2926,558,3,105,2042,22,48,72,52,2042,4,558,1484,1.14,114.15,13031.1,1141.54,11415.4,#E43737,0,20,0,4,24,2902,19.2,0.1,3.6,70.4,0.8,1.7,2.5,1.8
200,WIGAN,Abram,E05000840,2217,265,3,17,1714,14,53,81,35,1714,4,265,1449,1.46,146.44,21443.97,1464.38,14643.8,#DC1B1B,1,26,0,8,35,2182,12.1,0.1,0.8,78.6,0.6,2.4,3.7,1.6
201,WIGAN,Ashton,E05000841,2518,371,0,43,1967,5,45,36,30,1967,4,371,1596,1.37,136.53,18639.61,1365.27,13652.7,#DF2424,0,16,0,5,21,2497,14.9,0,1.7,78.8,0.2,1.8,1.4,1.2
202,WIGAN,Bryn,E05000846,2443,342,3,48,1849,17,50,57,55,1849,4,342,1507,1.38,137.56,18923.51,1375.63,13756.3,#DE2323,0,21,1,0,22,2421,14.1,0.1,2,76.4,0.7,2.1,2.4,2.3
203,WIGAN,Hindley,E05000849,2370,316,4,48,1825,10,51,47,45,1825,4,316,1509,1.41,140.96,19870.33,1409.62,14096.2,#DD2020,0,18,0,6,24,2346,13.5,0.2,2,77.8,0.4,2.2,2,1.9
204,WIGAN,Hindley Green,E05000850,2291,383,3,49,1646,17,45,70,47,1646,4,383,1263,1.24,124.49,15498.96,1244.95,12449.5,#E12E2E,0,28,0,3,31,2260,16.9,0.1,2.2,72.8,0.8,2,3.1,2.1
205,WIGAN,Orrell,E05000856,2929,693,1,76,1958,7,44,49,77,1958,4,693,1265,0.95,95.44,9107.97,954.36,9543.6,#E84747,0,19,0,5,24,2905,23.9,0,2.6,67.4,0.2,1.5,1.7,2.7
206,WIGAN,Winstanley,E05000863,2544,407,0,54,1908,8,38,51,61,1908,4,407,1501,1.3,129.68,16815.87,1296.76,12967.6,#E02A2A,0,16,0,1,17,2527,16.1,0,2.1,75.5,0.3,1.5,2,2.4
207,WIGAN,Worsley Mesnes,E05000864,2116,267,7,43,1636,6,44,53,38,1636,4,267,1369,1.44,143.88,20700.9,1438.78,14387.8,#DD1E1E,0,18,0,4,22,2094,12.8,0.3,2.1,78.1,0.3,2.1,2.5,1.8
208,WIGAN,Aspull New Springs Whelley,E05000842,2917,458,10,32,2205,13,42,65,58,2205,4,458,1747,1.31,131.21,17214.86,1312.05,13120.5,#E02828,0,25,0,9,34,2883,15.9,0.3,1.1,76.5,0.5,1.5,2.3,2
209,WIGAN,Douglas,E05000847,2000,202,6,43,1571,4,32,68,54,1571,4,202,1369,1.54,154.43,23847.86,1544.28,15442.8,#DA1414,0,13,0,7,20,1980,10.2,0.3,2.2,79.3,0.2,1.6,3.4,2.7
210,WIGAN,Ince,E05000851,1844,171,4,68,1418,11,40,73,46,1418,4,171,1247,1.57,156.95,24634.58,1569.54,15695.4,#DA1212,0,11,0,2,13,1831,9.3,0.2,3.7,77.4,0.6,2.2,4,2.5
211,WIGAN,Pemberton,E05000857,1995,228,2,48,1515,7,39,79,49,1515,4,228,1287,1.48,147.68,21808.33,1476.76,14767.6,#DC1A1A,0,23,0,5,28,1967,11.6,0.1,2.4,77,0.4,2,4,2.5
212,WIGAN,Shevington with Lower Ground,E05000858,2823,616,6,85,1912,21,40,40,74,1912,4,616,1296,1.03,102.53,10512.74,1025.32,10253.2,#E74141,1,21,0,7,29,2794,22,0.2,3,68.4,0.8,1.4,1.4,2.6
213,WIGAN,Standish with Langtree,E05000859,2718,742,5,69,1721,11,37,48,61,1721,4,742,979,0.79,79.5,6319.7,794.97,7949.7,#EC5555,0,15,0,9,24,2694,27.5,0.2,2.6,63.9,0.4,1.4,1.8,2.3
214,WIGAN,Wigan Central,E05000861,2851,618,6,75,1930,7,37,58,92,1930,4,618,1312,1.03,102.98,10605.44,1029.83,10298.3,#E64141,1,19,1,7,28,2823,21.9,0.2,2.7,68.4,0.2,1.3,2.1,3.3
215,WIGAN,Wigan West,E05000862,2361,260,1,58,1842,9,42,56,69,1842,4,260,1582,1.51,150.52,22657.27,1505.23,15052.3,#DB1818,0,22,0,2,24,2337,11.1,0,2.5,78.8,0.4,1.8,2.4,3
