,LocalAuthority,WardName,ONSCode,TotalVotes,ANSTEE_COUNT,ASLAM_COUNT,BROPHY_COUNT,BURNHAM_COUNT,FARMER_COUNT,MORRIS_COUNT,ODZE_COUNT,PATTERSON_COUNT,WinCandVotes,WinningCandidate,SecondMostVotes,Difference,PercDifference,PERC_DIFFERENCE,PERC_DIFFERENCE_SQ,PERC_DIFFERENCE_ORDER_TEN,PERC_DIFFERENCE_ORDER_100,COLOUR,Want of Official Mark,More than 1 Vote 1st Pref,Identifying Mark,Unmarked or Void,TOTAL REJECTED,TOTAL VOTES EXC. REJ,ANSTEE_PERC,ASLAM_PERC,BROPHY_PERC,BURNHAM_PERC,FARMER_PERC,MORRIS_PERC,ODZE_PERC,PATTERSON_PERC
51,MANCHESTER,Rusholme,E05000714,3452,161,122,457,2383,20,5,19,222,2383,4,457,1926,1.36,135.63,18396.53,1356.34,13563.4,#DF2525,0,22,0,41,63,3389,4.8,3.6,13.5,70.3,0.6,0.1,0.6,6.6
52,MANCHESTER,Whalley Range,E05000716,4659,291,109,314,3462,15,20,20,360,3462,4,360,3102,1.62,162.32,26348.88,1623.23,16232.3,#D80D0D,0,49,0,19,68,4591,6.3,2.4,6.8,75.4,0.3,0.4,0.4,7.8
53,MANCHESTER,Ancoats and Clayton,E05000687,3342,323,12,230,2407,32,55,51,172,2407,4,323,2084,1.53,152.67,23309.35,1526.74,15267.4,#DB1616,0,45,0,15,60,3282,9.8,0.4,7,73.3,1,1.7,1.6,5.2
54,MANCHESTER,Burnage,E05000692,3280,301,58,272,2378,14,50,45,109,2378,4,301,2077,1.55,155.06,24042.94,1550.58,15505.8,#DA1414,0,43,0,10,53,3227,9.3,1.8,8.4,73.7,0.4,1.5,1.4,3.4
55,MANCHESTER,Cheetham,E05000694,4220,342,366,158,3090,25,40,26,101,3090,4,366,2724,1.58,157.64,24850.02,1576.39,15763.9,#D91111,0,48,0,24,72,4148,8.2,8.8,3.8,74.5,0.6,1,0.6,2.4
56,MANCHESTER,Chorlton Park,E05000696,4355,468,40,339,3165,28,34,40,206,3165,4,468,2697,1.48,148.47,22044.03,1484.72,14847.2,#DC1919,0,20,1,14,35,4320,10.8,0.9,7.8,73.3,0.6,0.8,0.9,4.8
57,MANCHESTER,City Centre,E05000697,2629,417,3,290,1727,7,7,6,160,1727,4,417,1310,1.22,122.2,14933.2,1222.01,12220.1,#E23030,0,3,0,9,12,2617,15.9,0.1,11.1,66,0.3,0.3,0.2,6.1
58,MANCHESTER,Didsbury West,E05000700,3683,454,15,517,2474,17,20,19,136,2474,4,517,1957,1.31,130.86,17124.14,1308.59,13085.9,#E02929,0,21,1,9,31,3652,12.4,0.4,14.2,67.7,0.5,0.5,0.5,3.7
59,MANCHESTER,Miles Platting and Newton Heath,E05000709,2207,234,12,99,1629,30,55,61,49,1629,4,234,1395,1.5,149.76,22427.59,1497.58,14975.8,#DB1919,0,30,1,7,38,2169,10.8,0.6,4.6,75.1,1.4,2.5,2.8,2.3
60,MANCHESTER,Moston,E05000711,2751,456,11,105,1878,36,80,98,51,1878,4,456,1422,1.22,121.85,14847.64,1218.51,12185.1,#E23030,0,23,3,10,36,2715,16.8,0.4,3.9,69.2,1.3,2.9,3.6,1.9
61,MANCHESTER,Woodhouse Park,E05000718,1958,315,8,96,1356,18,46,50,44,1356,4,315,1041,1.25,124.6,15524.18,1245.96,12459.6,#E12E2E,0,19,0,6,25,1933,16.3,0.4,5,70.2,0.9,2.4,2.6,2.3
62,MANCHESTER,Baguley,E05000689,2191,411,13,117,1419,20,52,81,50,1419,4,411,1008,1.1,110.16,12136.09,1101.64,11016.4,#E53B3B,0,18,0,10,28,2163,19,0.6,5.4,65.6,0.9,2.4,3.7,2.3
63,MANCHESTER,Bradford,E05000690,2928,344,26,193,2102,17,60,41,107,2102,4,344,1758,1.44,143.74,20662.59,1437.45,14374.5,#DD1E1E,0,25,1,12,38,2890,11.9,0.9,6.7,72.7,0.6,2.1,1.4,3.7
64,MANCHESTER,Brooklands (MCR),E05000691,2765,667,11,184,1643,24,66,67,67,1643,4,667,976,0.85,84.5,7140.62,845.02,8450.2,#EB5151,0,28,0,8,36,2729,24.4,0.4,6.7,60.2,0.9,2.4,2.5,2.5
65,MANCHESTER,Chorlton,E05000695,5215,355,15,421,4049,10,17,16,276,4049,4,421,3628,1.62,162.33,26349.93,1623.27,16232.7,#D80D0D,0,36,0,20,56,5159,6.9,0.3,8.2,78.5,0.2,0.3,0.3,5.3
66,MANCHESTER,Crumpsall,E05000698,3433,360,159,122,2490,14,63,68,85,2490,4,360,2130,1.49,149.47,22342.38,1494.74,14947.4,#DB1919,0,66,0,6,72,3361,10.7,4.7,3.6,74.1,0.4,1.9,2,2.5
67,MANCHESTER,Harpurhey,E05000704,2476,280,36,77,1796,79,79,54,28,1796,4,280,1516,1.46,146.05,21330.63,1460.5,14605.0,#DC1B1B,0,33,0,14,47,2429,11.5,1.5,3.2,73.9,3.3,3.3,2.2,1.2
68,MANCHESTER,Old Moat,E05000713,3089,223,32,262,2297,16,28,32,168,2297,4,262,2035,1.59,159.05,25295.79,1590.47,15904.7,#D91010,0,22,0,9,31,3058,7.3,1,8.6,75.1,0.5,0.9,1,5.5
69,MANCHESTER,Sharston,E05000715,2373,378,24,157,1576,27,60,81,59,1576,4,378,1198,1.23,122.62,15035.73,1226.2,12262.0,#E23030,0,9,0,2,11,2362,16,1,6.6,66.7,1.1,2.5,3.4,2.5
70,OLDHAM,Alexandra,E05000719,1510,172,41,80,1050,14,41,56,30,1050,4,172,878,1.44,143.7,20649.36,1436.99,14369.9,#DD1E1E,0,22,0,4,26,1484,11.6,2.8,5.4,70.8,0.9,2.8,3.8,2
71,OLDHAM,Chadderton Central,E05000720,2204,406,8,80,1514,20,61,56,30,1514,4,406,1108,1.15,115.42,13321.01,1154.17,11541.7,#E33636,0,19,0,10,29,2175,18.7,0.4,3.7,69.6,0.9,2.8,2.6,1.4
72,OLDHAM,Chadderton North,E05000721,2385,532,10,112,1561,13,64,27,27,1561,4,532,1029,0.98,98.33,9668.35,983.28,9832.8,#E84545,0,26,0,13,39,2346,22.7,0.4,4.8,66.5,0.6,2.7,1.2,1.2
73,OLDHAM,Chadderton South,E05000722,1870,369,13,48,1212,13,62,90,30,1212,4,369,843,1.07,106.64,11372.38,1066.41,10664.1,#E63E3E,0,29,0,4,33,1837,20.1,0.7,2.6,66,0.7,3.4,4.9,1.6
74,OLDHAM,Coldhurst,E05000723,2840,202,39,128,2270,8,51,33,29,2270,4,202,2068,1.67,167.31,27993.95,1673.14,16731.4,#D70909,0,59,0,21,80,2760,7.3,1.4,4.6,82.2,0.3,1.8,1.2,1.1
75,OLDHAM,Hollinwood,E05000727,1510,300,8,48,997,10,44,52,29,997,4,300,697,1.07,107.48,11551.69,1074.79,10747.9,#E53D3D,0,17,1,4,22,1488,20.2,0.5,3.2,67,0.7,3,3.5,1.9
76,OLDHAM,Medlock Vale,E05000728,2068,190,50,61,1603,10,41,56,30,1603,4,190,1413,1.58,157.61,24841.84,1576.13,15761.3,#D91111,0,24,0,3,27,2041,9.3,2.4,3,78.5,0.5,2,2.7,1.5
77,OLDHAM,Royton North,E05000729,2135,576,2,133,1230,15,64,51,43,1230,4,576,654,0.72,72.43,5245.42,724.25,7242.5,#EE5B5B,0,19,0,2,21,2114,27.2,0.1,6.3,58.2,0.7,3,2.4,2
78,OLDHAM,Royton South,E05000730,1903,498,7,85,1131,15,64,48,31,1131,4,498,633,0.78,77.72,6039.84,777.16,7771.6,#EC5757,0,17,0,7,24,1879,26.5,0.4,4.5,60.2,0.8,3.4,2.6,1.6
79,OLDHAM,Werneth,E05000738,2422,120,108,68,1994,12,10,20,26,1994,4,120,1874,1.77,177.29,31433.24,1772.94,17729.4,#D50000,0,48,0,16,64,2358,5.1,4.6,2.9,84.6,0.5,0.4,0.8,1.1
80,OLDHAM,Crompton (OLM),E05000724,2256,678,2,268,1085,22,71,57,46,1085,4,678,407,0.46,46.17,2131.79,461.71,4617.1,#F47272,0,20,1,6,27,2229,30.4,0.1,12,48.7,1,3.2,2.6,2.1
81,OLDHAM,Failsworth East,E05000725,1734,376,0,13,1230,6,35,34,19,1230,4,376,854,1.06,106.35,11310.57,1063.51,10635.1,#E63E3E,0,15,0,6,21,1713,21.9,0,0.8,71.8,0.4,2,2,1.1
82,OLDHAM,Failsworth West,E05000726,1884,359,2,51,1274,11,57,65,48,1274,4,359,915,1.12,112.06,12558.27,1120.64,11206.4,#E43939,0,12,0,5,17,1867,19.2,0.1,2.7,68.2,0.6,3.1,3.5,2.6
83,OLDHAM,Saddleworth North,E05000731,2389,786,2,205,1230,26,32,42,39,1230,4,786,444,0.44,44.05,1940.19,440.48,4404.8,#F47474,0,20,0,7,27,2362,33.3,0.1,8.7,52.1,1.1,1.4,1.8,1.7
84,OLDHAM,Saddleworth South,E05000732,2829,940,2,243,1499,19,41,29,25,1499,4,940,559,0.46,45.84,2101.16,458.38,4583.8,#F47373,0,22,0,9,31,2798,33.6,0.1,8.7,53.6,0.7,1.5,1,0.9
85,OLDHAM,Saddleworth West and Lees,E05000733,2223,627,2,125,1295,16,52,54,34,1295,4,627,668,0.7,69.51,4831.77,695.11,6951.1,#EE5E5E,0,10,0,8,18,2205,28.4,0.1,5.7,58.7,0.7,2.4,2.4,1.5
86,OLDHAM,Shaw,E05000736,1806,439,2,228,968,14,53,52,27,968,4,439,529,0.75,75.2,5654.36,751.95,7519.5,#ED5959,0,20,0,3,23,1783,24.6,0.1,12.8,54.3,0.8,3,2.9,1.5
87,OLDHAM,St James',E05000734,1500,333,4,85,914,13,57,37,30,914,4,333,581,0.93,93.18,8683.19,931.84,9318.4,#E94949,0,22,0,5,27,1473,22.6,0.3,5.8,62.1,0.9,3.9,2.5,2
88,OLDHAM,St Mary's,E05000735,2034,145,166,65,1500,12,37,33,18,1500,4,166,1334,1.6,160.14,25646.12,1601.44,16014.4,#D90F0F,0,41,0,17,58,1976,7.3,8.4,3.3,75.9,0.6,1.9,1.7,0.9
89,OLDHAM,Waterhead,E05000737,1800,295,18,101,1211,22,47,48,28,1211,4,295,916,1.22,121.65,14797.93,1216.47,12164.7,#E23131,0,22,0,8,30,1770,16.7,1,5.7,68.4,1.2,2.7,2.7,1.6
90,ROCHDALE,Balderstone and Kirkholt,E05000739,1645,334,20,106,996,24,70,41,30,996,4,334,662,1,99.55,9909.98,995.49,9954.9,#E74343,0,22,0,2,24,1621,20.6,1.2,6.5,61.4,1.5,4.3,2.5,1.9
91,ROCHDALE,Bamford,E05000740,2535,1080,44,135,1147,14,46,32,22,1147,4,1080,67,0.06,6.02,36.21,60.17,601.7,#FE9595,0,12,0,3,15,2520,42.9,1.7,5.4,45.5,0.6,1.8,1.3,0.9
92,ROCHDALE,Castleton,E05000741,1951,471,32,127,1127,12,56,56,38,1127,4,471,656,0.82,82.1,6740.84,821.03,8210.3,#EB5353,0,24,0,8,32,1919,24.5,1.7,6.6,58.7,0.6,2.9,2.9,2
93,ROCHDALE,Central Rochdale,E05000742,2311,161,67,131,1810,15,28,17,22,1810,4,161,1649,1.67,167.33,27998.07,1673.26,16732.6,#D70909,0,38,0,22,60,2251,7.2,3,5.8,80.4,0.7,1.2,0.8,1
94,ROCHDALE,Healey,E05000744,2276,662,18,150,1287,13,45,34,35,1287,4,662,625,0.64,64.14,4113.36,641.35,6413.5,#F06262,0,20,0,12,32,2244,29.5,0.8,6.7,57.4,0.6,2,1.5,1.6
95,ROCHDALE,Kingsway,E05000746,2119,251,64,107,1540,13,44,27,43,1540,4,251,1289,1.44,143.94,20719.28,1439.42,14394.2,#DD1E1E,0,22,0,8,30,2089,12,3.1,5.1,73.7,0.6,2.1,1.3,2.1
96,ROCHDALE,Milkstone and Deeplish,E05000748,2113,117,115,115,1635,10,18,18,35,1635,4,117,1518,1.73,173.29,30028.62,1732.88,17328.8,#D60404,0,32,1,17,50,2063,5.7,5.6,5.6,79.3,0.5,0.9,0.9,1.7
97,ROCHDALE,Norden,E05000750,2249,912,6,104,1102,11,37,28,30,1102,4,912,190,0.19,18.87,356,188.68,1886.8,#FA8989,0,15,0,4,19,2230,40.9,0.3,4.7,49.4,0.5,1.7,1.3,1.3
98,ROCHDALE,Smallbridge and Firgrove,E05000753,1743,267,34,107,1141,19,61,46,33,1141,4,267,874,1.24,124.15,15412.66,1241.48,12414.8,#E12F2F,0,22,1,12,35,1708,15.6,2,6.3,66.8,1.1,3.6,2.7,1.9
99,ROCHDALE,Spotland and Falinge,E05000755,2136,347,46,157,1415,22,45,34,35,1415,4,347,1068,1.21,121.23,14695.71,1212.26,12122.6,#E23131,0,23,0,12,35,2101,16.5,2.2,7.5,67.3,1,2.1,1.6,1.7
100,ROCHDALE,East Middleton,E05000743,1954,400,6,51,1302,8,63,62,40,1302,4,400,902,1.06,105.99,11234.51,1059.93,10599.3,#E63E3E,0,17,0,5,22,1932,20.7,0.3,2.6,67.4,0.4,3.3,3.2,2.1
101,ROCHDALE,Hopwood Hall,E05000745,1818,470,4,57,1120,9,50,51,28,1120,4,470,650,0.82,81.76,6684.86,817.61,8176.1,#EB5353,0,21,0,8,29,1789,26.3,0.2,3.2,62.6,0.5,2.8,2.9,1.6
102,ROCHDALE,Littleborough Lakeside,E05000747,2033,639,4,99,1097,4,76,30,50,1097,4,639,458,0.53,52.76,2784.14,527.65,5276.5,#F26C6C,0,22,0,12,34,1999,32,0.2,5,54.9,0.2,3.8,1.5,2.5
103,ROCHDALE,Milnrow and Newhey,E05000749,2166,568,2,221,1189,14,66,50,46,1189,4,568,621,0.71,70.69,4996.89,706.89,7068.9,#EE5C5C,0,7,0,3,10,2156,26.3,0.1,10.3,55.1,0.6,3.1,2.3,2.1
104,ROCHDALE,North Heywood,E05000751,1462,310,4,95,887,9,74,22,40,887,4,310,577,0.96,96.41,9294.44,964.08,9640.8,#E84646,0,2,0,19,21,1441,21.5,0.3,6.6,61.6,0.6,5.1,1.5,2.8
105,ROCHDALE,North Middleton,E05000752,1739,354,3,79,1084,17,62,87,37,1084,4,354,730,1.02,101.53,10308.32,1015.3,10153.0,#E74242,0,2,0,14,16,1723,20.5,0.2,4.6,62.9,1,3.6,5,2.1
106,ROCHDALE,South Middleton,E05000754,2476,691,3,87,1469,23,65,56,37,1469,4,691,778,0.72,72.04,5189.33,720.37,7203.7,#EE5C5C,0,36,0,9,45,2431,28.4,0.1,3.6,60.4,0.9,2.7,2.3,1.5
107,ROCHDALE,Wardle and West Littleborough,E05000756,2026,819,8,101,961,11,55,31,23,961,4,819,142,0.16,15.96,254.56,159.55,1595.5,#FB8C8C,0,13,0,4,17,2009,40.8,0.4,5,47.8,0.5,2.7,1.5,1.1
108,ROCHDALE,West Heywood,E05000757,1712,323,8,68,1119,19,65,69,32,1119,4,323,796,1.1,110.4,12188.65,1104.02,11040.2,#E53A3A,0,1,0,8,9,1703,19,0.5,4,65.7,1.1,3.8,4.1,1.9
109,ROCHDALE,West Middleton,E05000758,1817,269,2,90,1218,23,59,80,50,1218,4,269,949,1.28,127.64,16291.85,1276.4,12764.0,#E02B2B,0,17,0,9,26,1791,15,0.1,5,68,1.3,3.3,4.5,2.8
110,SALFORD,Barton,E05000759,2053,350,16,80,1409,15,49,53,61,1409,4,350,1059,1.2,120.41,14498.41,1204.09,12040.9,#E23232,0,15,0,5,20,2033,17.2,0.8,3.9,69.3,0.7,2.4,2.6,3
111,SALFORD,Cadishead,E05000762,1915,454,0,88,1185,15,48,57,51,1185,4,454,731,0.89,89.2,7956.77,892.01,8920.1,#EA4D4D,0,15,0,2,17,1898,23.9,0,4.6,62.4,0.8,2.5,3,2.7
112,SALFORD,Eccles,E05000764,2839,589,18,109,1907,14,37,49,88,1907,4,589,1318,1.06,105.61,11153.26,1056.09,10560.9,#E63E3E,0,19,1,8,28,2811,21,0.6,3.9,67.8,0.5,1.3,1.7,3.1
113,SALFORD,Irlam,E05000765,1703,388,1,62,1088,8,50,45,43,1088,4,388,700,0.95,94.85,8996.7,948.51,9485.1,#E84848,0,17,0,1,18,1685,23,0.1,3.7,64.6,0.5,3,2.7,2.6
114,SALFORD,Pendlebury,E05000771,2241,493,8,101,1421,9,67,84,42,1421,4,493,928,0.97,96.97,9403.12,969.7,9697.0,#E84646,0,12,0,4,16,2225,22.2,0.4,4.5,63.9,0.4,3,3.8,1.9
115,SALFORD,Swinton North,E05000772,2278,464,9,77,1524,11,63,60,52,1524,4,464,1060,1.07,106.64,11372.06,1066.4,10664.0,#E63E3E,0,14,0,4,18,2260,20.5,0.4,3.4,67.4,0.5,2.8,2.7,2.3
116,SALFORD,Swinton South,E05000773,2195,494,11,86,1401,11,62,54,48,1401,4,494,907,0.96,95.73,9163.39,957.26,9572.6,#E84747,0,18,2,8,28,2167,22.8,0.5,4,64.7,0.5,2.9,2.5,2.2
117,SALFORD,Walkden South,E05000775,2536,545,4,89,1714,21,39,52,50,1714,4,545,1169,1.03,103.5,10711.65,1034.97,10349.7,#E64141,0,15,0,7,22,2514,21.7,0.2,3.5,68.2,0.8,1.6,2.1,2
118,SALFORD,Winton,E05000777,2018,369,7,87,1341,14,56,75,49,1341,4,369,972,1.14,113.68,12924.1,1136.84,11368.4,#E43737,0,14,0,6,20,1998,18.5,0.4,4.4,67.1,0.7,2.8,3.8,2.5
119,SALFORD,Worsley,E05000778,2886,1132,2,121,1500,9,23,21,60,1500,4,1132,368,0.28,27.96,781.96,279.64,2796.4,#F88282,0,15,0,3,18,2868,39.5,0.1,4.2,52.3,0.3,0.8,0.7,2.1
120,SALFORD,Boothstown and Ellenbrook,E05000760,2564,942,5,104,1388,2,35,38,31,1388,4,942,446,0.38,38.28,1465.61,382.83,3828.3,#F67979,0,18,0,1,19,2545,37,0.2,4.1,54.5,0.1,1.4,1.5,1.2
121,SALFORD,Broughton,E05000761,2073,403,31,98,1231,15,41,158,74,1231,4,403,828,1.01,101.35,10271.09,1013.46,10134.6,#E74242,0,18,1,3,22,2051,19.6,1.5,4.8,60,0.7,2,7.7,3.6
122,SALFORD,Claremont,E05000763,2345,401,11,104,1646,13,39,46,59,1646,4,401,1245,1.22,121.64,14796.64,1216.41,12164.1,#E23131,0,23,0,3,26,2319,17.3,0.5,4.5,71,0.6,1.7,2,2.5
123,SALFORD,Irwell Riverside,E05000766,1609,202,18,111,1091,18,24,40,88,1091,4,202,889,1.38,137.51,18908.91,1375.1,13751.0,#DE2323,0,12,0,5,17,1592,12.7,1.1,7,68.5,1.1,1.5,2.5,5.5
124,SALFORD,Kersal,E05000767,2006,745,24,60,937,14,27,135,42,937,4,745,192,0.23,22.83,521.21,228.3,2283.0,#F98686,0,17,0,5,22,1984,37.6,1.2,3,47.2,0.7,1.4,6.8,2.1
125,SALFORD,Langworthy,E05000768,1750,243,14,95,1176,17,39,75,67,1176,4,243,933,1.32,131.5,17292.53,1315.01,13150.1,#E02828,0,22,0,2,24,1726,14.1,0.8,5.5,68.1,1,2.3,4.3,3.9
126,SALFORD,Little Hulton,E05000769,1678,286,5,75,1118,17,56,67,35,1118,4,286,832,1.19,118.52,14046.64,1185.19,11851.9,#E33434,0,15,0,4,19,1659,17.2,0.3,4.5,67.4,1,3.4,4,2.1
127,SALFORD,Ordsall,E05000770,2633,429,19,217,1704,17,40,28,149,1704,4,429,1275,1.2,119.55,14292.19,1195.5,11955.0,#E23232,0,21,3,6,30,2603,16.5,0.7,8.3,65.5,0.7,1.5,1.1,5.7
128,SALFORD,Walkden North,E05000774,1915,321,6,67,1312,8,47,65,66,1312,4,321,991,1.21,121.37,14731.09,1213.72,12137.2,#E23131,0,16,0,7,23,1892,17,0.3,3.5,69.3,0.4,2.5,3.4,3.5
129,SALFORD,Weaste and Seedley,E05000776,2207,372,14,97,1502,13,42,69,77,1502,4,372,1130,1.21,120.6,14543.79,1205.98,12059.8,#E23232,0,17,0,4,21,2186,17,0.6,4.4,68.7,0.6,1.9,3.2,3.5
130,STOCKPORT,Bramhall North,E05000779,3996,1786,8,399,1621,19,35,27,63,1786,1,1621,165,0.1,9.69,93.82,96.86,968.6,#CDE7F3,0,22,0,16,38,3958,45.1,0.2,10.1,41,0.5,0.9,0.7,1.6
131,STOCKPORT,Bramhall South and Woodford,E05000780,3977,1786,2,479,1560,6,43,19,39,1786,1,1560,226,0.14,13.51,182.48,135.09,1350.9,#C5E3F2,0,19,2,22,43,3934,45.4,0.1,12.2,39.7,0.2,1.1,0.5,1
132,STOCKPORT,Bredbury Green and Romiley,E05000782,3414,1094,3,463,1637,16,51,39,60,1637,4,1094,543,0.4,39.77,1581.31,397.66,3976.6,#F57878,0,33,1,17,51,3363,32.5,0.1,13.8,48.7,0.5,1.5,1.2,1.8
133,STOCKPORT,Cheadle and Gatley,E05000784,4362,1386,23,586,2170,20,42,27,69,2170,4,1386,784,0.44,44.09,1944.32,440.94,4409.4,#F47474,0,24,1,14,39,4323,32.1,0.5,13.6,50.2,0.5,1,0.6,1.6
134,STOCKPORT,Cheadle Hulme South,E05000786,3760,1278,17,561,1685,13,60,39,67,1685,4,1278,407,0.27,27.47,754.72,274.72,2747.2,#F88282,0,33,0,7,40,3720,34.4,0.5,15.1,45.3,0.3,1.6,1,1.8
135,STOCKPORT,Davenport and Cale Green,E05000787,2952,490,9,195,1978,18,75,52,103,1978,4,490,1488,1.21,120.58,14540.37,1205.83,12058.3,#E23232,0,22,0,10,32,2920,16.8,0.3,6.7,67.7,0.6,2.6,1.8,3.5
136,STOCKPORT,Manor,E05000793,2433,468,6,209,1531,9,58,50,75,1531,4,468,1063,1.06,106.35,11311,1063.53,10635.3,#E63E3E,0,14,0,13,27,2406,19.5,0.2,8.7,63.6,0.4,2.4,2.1,3.1
137,STOCKPORT,Marple North,E05000794,4191,1366,2,667,1944,20,50,20,76,1944,4,1366,578,0.35,34.92,1219.72,349.24,3492.4,#F77C7C,0,37,0,9,46,4145,33,0,16.1,46.9,0.5,1.2,0.5,1.8
138,STOCKPORT,Marple South,E05000795,3710,1245,5,727,1499,10,58,40,83,1499,4,1245,254,0.19,18.51,342.74,185.13,1851.3,#FB8A8A,0,35,0,8,43,3667,34,0.1,19.8,40.9,0.3,1.6,1.1,2.3
139,STOCKPORT,Offerton,E05000796,2624,769,5,345,1293,23,72,51,42,1293,4,769,524,0.51,50.82,2583.12,508.24,5082.4,#F36E6E,0,18,0,6,24,2600,29.6,0.2,13.3,49.7,0.9,2.8,2,1.6
140,STOCKPORT,Stepping Hill,E05000799,3418,1095,5,355,1782,13,46,27,55,1782,4,1095,687,0.48,47.76,2280.83,477.58,4775.8,#F47070,0,34,1,5,40,3378,32.4,0.1,10.5,52.8,0.4,1.4,0.8,1.6
141,STOCKPORT,Bredbury and Woodley,E05000781,2958,807,5,451,1455,23,63,60,56,1455,4,807,648,0.57,57.29,3282.65,572.94,5729.4,#F16969,0,17,0,21,38,2920,27.6,0.2,15.4,49.8,0.8,2.2,2.1,1.9
142,STOCKPORT,Brinnington and Central,E05000783,2107,273,20,103,1480,21,56,62,59,1480,4,273,1207,1.38,137.71,18963.16,1377.07,13770.7,#DE2323,0,24,0,9,33,2074,13.2,1,5,71.4,1,2.7,3,2.8
143,STOCKPORT,Cheadle Hulme North,E05000785,3337,836,13,486,1800,15,42,27,79,1800,4,836,964,0.73,73.14,5349.62,731.41,7314.1,#ED5A5A,0,0,15,24,39,3298,25.3,0.4,14.7,54.6,0.5,1.3,0.8,2.4
144,STOCKPORT,Edgeley and Cheadle Heath,E05000788,2766,415,7,164,1946,22,57,47,82,1946,4,415,1531,1.3,129.69,16819.71,1296.91,12969.1,#E02A2A,0,12,13,1,26,2740,15.1,0.3,6,71,0.8,2.1,1.7,3
145,STOCKPORT,Hazel Grove,E05000789,3564,1263,7,499,1602,16,61,29,57,1602,4,1263,339,0.24,23.66,560.03,236.65,2366.5,#F98585,0,19,1,10,30,3534,35.7,0.2,14.1,45.3,0.5,1.7,0.8,1.6
146,STOCKPORT,Heald Green,E05000790,3020,913,52,280,1547,7,68,32,71,1547,4,913,634,0.52,51.54,2656.86,515.45,5154.5,#F36E6E,0,37,0,13,50,2970,30.7,1.8,9.4,52.1,0.2,2.3,1.1,2.4
147,STOCKPORT,Heatons North,E05000791,4310,763,16,267,3027,19,38,35,109,3027,4,763,2264,1.19,119.47,14273.63,1194.72,11947.2,#E23232,0,20,0,16,36,4274,17.9,0.4,6.2,70.8,0.4,0.9,0.8,2.6
148,STOCKPORT,Heatons South,E05000792,4252,728,42,232,3015,18,39,20,118,3015,4,728,2287,1.22,122.2,14933.19,1222.01,12220.1,#E23030,0,37,0,3,40,4212,17.3,1,5.5,71.6,0.4,0.9,0.5,2.8
149,STOCKPORT,Reddish North,E05000797,2666,420,8,100,1913,16,59,50,67,1913,4,420,1493,1.28,127.99,16381.37,1279.9,12799.0,#E02B2B,0,25,0,8,33,2633,16,0.3,3.8,72.7,0.6,2.2,1.9,2.5
150,STOCKPORT,Reddish South,E05000798,3049,539,8,110,2183,11,62,43,66,2183,4,539,1644,1.21,120.79,14591.08,1207.94,12079.4,#E23232,0,18,0,9,27,3022,17.8,0.3,3.6,72.2,0.4,2.1,1.4,2.2
151,TAMESIDE,Denton North East,E05000804,2153,494,3,69,1351,12,88,71,39,1351,4,494,857,0.93,92.9,8630.36,929,9290.0,#E94A4A,0,21,3,2,26,2127,23.2,0.1,3.2,63.5,0.6,4.1,3.3,1.8
152,TAMESIDE,Denton South,E05000805,2115,475,6,69,1362,34,68,60,23,1362,4,475,887,0.97,96.57,9325.86,965.7,9657.0,#E84646,0,10,2,6,18,2097,22.7,0.3,3.3,64.9,1.6,3.2,2.9,1.1
153,TAMESIDE,Denton West,E05000806,2824,616,4,101,1851,15,76,52,68,1851,4,616,1235,1,100.12,10024.34,1001.22,10012.2,#E74343,0,26,0,15,41,2783,22.1,0.1,3.6,66.5,0.5,2.7,1.9,2.4
154,TAMESIDE,Droylsden East,E05000807,2273,425,7,82,1506,22,81,76,45,1506,4,425,1081,1.12,111.96,12535.65,1119.63,11196.3,#E43939,0,25,0,4,29,2244,18.9,0.3,3.7,67.1,1,3.6,3.4,2
155,TAMESIDE,Droylsden West,E05000808,2237,379,3,89,1530,17,67,78,42,1530,4,379,1151,1.21,120.59,14541.15,1205.87,12058.7,#E23232,0,18,4,10,32,2205,17.2,0.1,4,69.4,0.8,3,3.5,1.9
156,TAMESIDE,Dukinfield,E05000809,2126,486,7,74,1341,23,68,62,52,1341,4,486,855,0.94,93.6,8760.22,935.96,9359.6,#E94949,0,6,2,5,13,2113,23,0.3,3.5,63.5,1.1,3.2,2.9,2.5
157,TAMESIDE,Hyde Godley,E05000811,2084,423,14,102,1310,23,72,53,66,1310,4,423,887,1.02,102.37,10478.77,1023.66,10236.6,#E74141,0,14,3,4,21,2063,20.5,0.7,4.9,63.5,1.1,3.5,2.6,3.2
158,TAMESIDE,Hyde Newton,E05000812,2314,490,10,113,1469,16,80,63,44,1469,4,490,979,1,99.95,9989.79,999.49,9994.9,#E74343,0,16,0,13,29,2285,21.4,0.4,4.9,64.3,0.7,3.5,2.8,1.9
159,TAMESIDE,Hyde Werneth,E05000813,2789,844,27,152,1557,16,61,44,51,1557,4,844,713,0.59,59.39,3527.4,593.92,5939.2,#F16666,0,23,0,14,37,2752,30.7,1,5.5,56.6,0.6,2.2,1.6,1.9
160,TAMESIDE,Ashton Hurst,E05000800,2558,807,18,83,1437,20,50,56,50,1437,4,807,630,0.56,56.15,3152.79,561.5,5615.0,#F26969,0,29,2,6,37,2521,32,0.7,3.3,57,0.8,2,2.2,2
